Bot24: 0xf1f9
Calendar3Day28: 0xf210
CalendarAdd20: 0xf211
CalendarAdd24: 0xf212
CalendarAgenda20: 0xf213
CalendarAgenda24: 0xf214
CalendarAgenda28: 0xf215
CalendarArrowRight20: 0xf216
CalendarAssistant20: 0xf217
CalendarAssistant24: 0xf218
CalendarCancel20: 0xf219
CalendarCancel24: 0xf21a
CalendarCheckmark16: 0xf21b
CalendarCheckmark20: 0xf21c
CalendarClock20: 0xf21d
CalendarClock24: 0xf21e
CalendarDay20: 0xf222
CalendarDay24: 0xf223
CalendarDay28: 0xf224
CalendarEmpty16: 0xf225
CalendarEmpty20: 0xf226
CalendarEmpty24: 0xf227
CalendarEmpty28: 0xf228
CalendarMonth20: 0xf22a
CalendarMonth24: 0xf22b
CalendarMonth28: 0xf22c
CalendarMultiple20: 0xf22d
CalendarMultiple24: 0xf22e
CalendarOverdue24: 0xf22f
CalendarPerson20: 0xf230
CalendarReply16: 0xf231
CalendarReply20: 0xf232
CalendarReply24: 0xf233
CalendarReply28: 0xf234
CalendarSettings20: 0xf235
CalendarStar20: 0xf236
CalendarStar24: 0xf237
CalendarSync16: 0xf238
CalendarSync20: 0xf239
CalendarSync24: 0xf23a
CalendarToday16: 0xf23b
CalendarToday20: 0xf23c
CalendarToday24: 0xf23d
CalendarToday28: 0xf23e
CalendarWeekNumbers24: 0xf23f
CalendarWeekStart20: 0xf240
CalendarWeekStart24: 0xf241
BookGlobe24: 0xf1f0
CalendarWorkWeek16: 0xf243
CalendarWorkWeek20: 0xf244
CalendarWorkWeek24: 0xf245
CallAdd24: 0xf246
CallEnd20: 0xf247
CallEnd28: 0xf249
CallEnd24: 0xf248
Bookmark28: 0xf1f7
CallInbound16: 0xf24b
CallInbound24: 0xf24c
CallMissed16: 0xf24d
CallMissed24: 0xf24e
CallOutbound16: 0xf24f
CallOutbound24: 0xf250
CallPark24: 0xf251
CalligraphyPen20: 0xf252
CalligraphyPen24: 0xf253
Camera20: 0xf254
Camera24: 0xf255
Camera28: 0xf256
CameraAdd20: 0xf257
CameraAdd24: 0xf258
CameraAdd48: 0xf259
CameraSwitch24: 0xf25a
Caret12: 0xf25b
Caret16: 0xf25c
Caret20: 0xf25d
Caret24: 0xf25e
CaretDown12: 0xf25f
CaretDown16: 0xf260
CaretDown20: 0xf261
